Item Code,Item Group,Default Unit of Measure,Has Variants,Maintain Stock,Is Fixed Asset,Asset Category,Brand,Description,End of Life,Shelf Life In Days,Variant Of,Variant Based On,Safety Stock,Lead Time in days,HSN/SAC,Attribute (Variant Attributes),Attribute Value (Variant Attributes)
OIL PAINT STEEL GREY BERGER,CONSUMABLE,Litre,0,1,0,,BERGER,,2028-12-31,1095.0,OIL PAINT,Item Attribute,20.0,7,72139900,Color,STEEL GREY (BERGER)
OIL PAINT STEEL GREY ASIAN,CONSUMABLE,Litre,0,1,0,,ASIAN,,2028-12-31,1095.0,OIL PAINT,Item Attribute,20.0,7,72139900,Color,STEEL GREY ( ASIAN)
OIL PAINT STEEL GREY NEROLACK,CONSUMABLE,Litre,0,1,0,,NEROLACK,,2028-12-31,1095.0,OIL PAINT,Item Attribute,20.0,7,72139900,Color,STEEL GREY (ROLACK)
OIL PAINT STEEL GREY BIRLA,CONSUMABLE,Litre,0,1,0,,BIRLA,,2028-12-31,1095.0,OIL PAINT,Item Attribute,20.0,7,72139900,Color,STEEL GREY ( BIRLA)
OIL PAINT SMOKY GREY BERGER,CONSUMABLE,Litre,0,1,0,,BERGER,,2028-12-31,1095.0,OIL PAINT,Item Attribute,20.0,7,32089099,Color,GREY (BERGER)
OIL PAINT SMOKY GREY ASIAN,CONSUMABLE,Litre,0,1,0,,ASIAN,,2028-12-31,1095.0,OIL PAINT,Item Attribute,20.0,7,32089099,Color,GREY ( ASIAN)
OIL PAINT SMOKY GREY NEROLACK,CONSUMABLE,Litre,0,1,0,,NEROLACK,,2028-12-31,1095.0,OIL PAINT,Item Attribute,20.0,7,32089099,Color,GREY (ROLACK)
OIL PAINT SMOKY GREY BIRLA,CONSUMABLE,Litre,0,1,0,,BIRLA,,2028-12-31,1095.0,OIL PAINT,Item Attribute,20.0,7,32089099,Color,GREY ( BIRLA)
OIL PAINT ORANGE BERGER,CONSUMABLE,Litre,0,1,0,,BERGER,,2028-12-31,1095.0,OIL PAINT,Item Attribute,20.0,7,32089099,Color,ORANGE (BERGER)
OIL PAINT ORANGE ASIAN,CONSUMABLE,Litre,0,1,0,,ASIAN,,2028-12-31,1095.0,OIL PAINT,Item Attribute,20.0,7,32089099,Color,ORANGE ( ASIAN)
OIL PAINT ORANGE NEROLACK,CONSUMABLE,Litre,0,1,0,,NEROLACK,,2028-12-31,1095.0,OIL PAINT,Item Attribute,20.0,7,32089099,Color,ORANGE (ROLACK)
OIL PAINT ORANGE BIRLA,CONSUMABLE,Litre,0,1,0,,BIRLA,,2028-12-31,1095.0,OIL PAINT,Item Attribute,20.0,7,32089099,Color,ORANGE ( BIRLA)
OIL BISON ACRLIC DISTEMPER WHITE BERGER,CONSUMABLE,Litre,0,1,0,,BERGER,,2028-12-31,1095.0,OIL PAINT,Item Attribute,20.0,7,68109900,Color,WHITE (BERGER)
OIL BISON ACRLIC DISTEMPER WHITE ASIAN,CONSUMABLE,Litre,0,1,0,,ASIAN,,2028-12-31,1095.0,OIL PAINT,Item Attribute,20.0,7,68109900,Color,WHITE ( ASIAN)
OIL BISON ACRLIC DISTEMPER WHITE NEROLACK,CONSUMABLE,Litre,0,1,0,,NEROLACK,,2028-12-31,1095.0,OIL PAINT,Item Attribute,20.0,7,68109900,Color,WHITE (ROLACK)
OIL BISON ACRLIC DISTEMPER WHITE BIRLA,CONSUMABLE,Litre,0,1,0,,BIRLA,,2028-12-31,1095.0,OIL PAINT,Item Attribute,20.0,7,68109900,Color,WHITE ( BIRLA)
WALL CARE PUTTY SF BERGER,CONSUMABLE,Bags,0,1,0,,BERGER,,2026-12-31,365.0,WALL CARE PUTTY,Item Attribute,50.0,7,68109900,Grade,SF (BERGER)
WALL CARE PUTTY SF ASIAN,CONSUMABLE,Bags,0,1,0,,ASIAN,,2026-12-31,365.0,WALL CARE PUTTY,Item Attribute,50.0,7,68109900,Grade,SF ( ASIAN)
WALL CARE PUTTY SF NEROLACK,CONSUMABLE,Bags,0,1,0,,NEROLACK,,2026-12-31,365.0,WALL CARE PUTTY,Item Attribute,50.0,7,68109900,Grade,SF (ROLACK)
WALL CARE PUTTY SF BIRLA,CONSUMABLE,Bags,0,1,0,,BIRLA,,2026-12-31,365.0,WALL CARE PUTTY,Item Attribute,50.0,7,68109900,Grade,SF ( BIRLA)
THINNER G P,CONSUMABLE,Litre,0,1,0,,,,2026-12-31,365.0,THINNER,Item Attribute,20.0,7,38140000,Thinner Type,G P
THINNER N C,CONSUMABLE,Litre,0,1,0,,,,2026-12-31,365.0,THINNER,Item Attribute,20.0,7,38140000,Thinner Type,N C
DECO PRIMER OIL BASE BERGER,CONSUMABLE,Nos,0,1,0,,BERGER,,2026-12-31,365.0,,,1.0,7,32089099,,
DECO PRIMER OIL BASE ASIAN,CONSUMABLE,Nos,0,1,0,,ASIAN,,2026-12-31,365.0,,,1.0,7,32089099,,
DECO PRIMER OIL BASE NEROLACK,CONSUMABLE,Nos,0,1,0,,NEROLACK,,2026-12-31,365.0,,,1.0,7,32089099,,
DECO PRIMER OIL BASE BIRLA,CONSUMABLE,Nos,0,1,0,,BIRLA,,2026-12-31,365.0,,,1.0,7,32089099,,
RED OXIDE BERGER,CONSUMABLE,Litre,0,1,0,,BERGER,,2026-12-31,365.0,,,20.0,7,68109900,,
RED OXIDE ASIAN,CONSUMABLE,Litre,0,1,0,,ASIAN,,2026-12-31,365.0,,,20.0,7,68109900,,
RED OXIDE NEROLACK,CONSUMABLE,Litre,0,1,0,,NEROLACK,,2026-12-31,365.0,,,20.0,7,68109900,,
RED OXIDE BIRLA,CONSUMABLE,Litre,0,1,0,,BIRLA,,2026-12-31,365.0,,,20.0,7,68109900,,
ASIAN APEX ULTIMA  K107 BERGER,CONSUMABLE,Litre,0,1,0,,BERGER,,2026-12-31,365.0,APEX PAINT,Item Attribute,200.0,7,68109900,Brand,BERGER
ASIAN APEX ULTIMA  K107 ASIAN,CONSUMABLE,Litre,0,1,0,,ASIAN,,2026-12-31,365.0,APEX PAINT,Item Attribute,200.0,7,68109900,Brand,ASIAN ( ASIAN)
